,title,authors,average_rating,language_code
0,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,eng
1,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,eng
2,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,eng
3,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,eng
4,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,eng
5,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,eng
6,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,eng
7,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng
8,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng
9,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,eng
11,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng
12,A Short History of Nearly Everything,Bill Bryson,4.21,eng
13,Bill Bryson's African Diary,Bill Bryson,3.44,eng
14,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng
15,In a Sunburned Country,Bill Bryson,4.07,eng
16,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng
17,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng
18,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng
19,Notes from a Small Island,Bill Bryson,3.91,eng
20,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng
21,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng
22,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng
23,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng
24,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,eng
25,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng
26,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng
27,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng
28,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng
29,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,eng
30,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng
31,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,eng
32,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,eng
33,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng
34,Changeling (Changeling  #1),Delia Sherman,3.6,eng
35,The Changeling Sea,Patricia A. McKillip,4.06,eng
36,The Changeling,Zilpha Keatley Snyder,4.17,eng
37,The Changeling,Kate Horsley,3.55,eng
38,The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng
39,The Known World,Edward P. Jones,3.83,eng
40,The Known World,Edward P. Jones/Kevin R. Free,3.83,eng
41,The Known World,Edward P. Jones,3.83,eng
42,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng
43,Artesia: Adventures in the Known World,Mark Smylie,4.13,eng
44,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng
45,Uncommon Carriers,John McPhee,3.95,eng
46,Heirs of General Practice,John McPhee,4.17,eng
47,The Control of Nature,John McPhee,4.24,eng
48,Annals of the Former World,John McPhee,4.34,eng
49,Coming Into the Country,John McPhee,4.22,eng
50,La Place de la Concorde Suisse,John McPhee,3.92,fre
51,Giving Good Weight,John McPhee,4.23,eng
52,Rising from the Plains,John McPhee,4.23,eng
53,The Heidi Chronicles,Wendy Wasserstein,3.75,eng
54,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng
55,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,eng
56,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,eng
57,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng
58,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,eng
59,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng
60,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng
61,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,eng
62,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng
63,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng
64,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,eng
65,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng
66,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng
67,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng
68,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,eng
69,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng
70,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng
71,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng
72,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng
73,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng
74,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng
75,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,eng
76,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng
77,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,eng
78,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng
79,eBay for Dummies,Marsha Collier,3.5,eng
80,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,eng
81,Starting an eBay Business for Dummies,Marsha Collier,3.55,eng
82,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,eng
83,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,eng
84,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,eng
85,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng
86,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng
87,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng
88,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng
89,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng
90,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,eng
91,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,eng
92,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng
93,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,eng
94,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,eng
95,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,eng
96,Dinner with Anna Karenina,Gloria Goldreich,2.99,eng
97,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng
98,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,eng
99,The Untouchable,John Banville,3.95,eng
100,The Untouchables,Eliot Ness/Oscar Fraley,3.89,eng
101,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,eng
102,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,eng
103,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng
104,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,eng
105,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,eng
106,Wrinkles in Time,George Smoot/Keay Davidson,4.01,eng
107,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,eng
108,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,eng
109,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,spa
110,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,eng
111,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,eng
112,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,eng
113,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,eng
114,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,eng
115,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,eng
116,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,eng
117,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,eng
118,I am Charlotte Simmons,Tom Wolfe,3.42,eng
119,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,eng
120,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,eng
121,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,eng
122,Quiet Days in Clichy,Henry Miller,3.69,eng
123,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,eng
124,Tropic of Capricorn,Henry Miller,3.78,eng
125,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,eng
126,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,eng
127,The Air-Conditioned Nightmare,Henry Miller,3.83,eng
128,The Portrait of a Lady,Henry James/Patricia Crick,3.78,eng
129,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,eng
130,Writing,Marguerite Duras,3.75,eng
131,The War,Marguerite Duras/Barbara Bray,3.85,eng
132,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,eng
133,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,eng
134,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,eng
135,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,eng
136,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,eng
137,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,eng
138,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,eng
139,Treasure Island,Robert Louis Stevenson,3.83,eng
140,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,eng
141,Treasure Island,Robert Louis Stevenson,3.83,eng
142,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,eng
143,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,eng
144,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,eng
145,100 Years of Lynchings,Ralph Ginzburg,4.61,eng
146,Cien años de soledad,Gabriel García Márquez,4.07,spa
147,On Beyond Zebra!,Dr. Seuss,4.04,eng
148,The Wedding Clause,Debbie Raleigh,3.6,eng
149,The Zebra Wall,Kevin Henkes,3.44,eng
150,El perfume: Historia de un asesino,Patrick Süskind,4.02,spa
151,The Door Into Summer,Robert A. Heinlein,4.01,eng
152,Stranger in a Strange Land,Robert A. Heinlein,3.92,eng
153,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,eng
154,Job: A Comedy of Justice,Robert A. Heinlein,3.78,eng
155,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,eng
156,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,eng
157,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,eng
158,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,eng
159,Douglas Adams's Starship Titanic,Terry Jones,3.6,eng
160,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,eng
161,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,eng
162,On Bullshit,Harry G. Frankfurt,3.57,eng
163,Another Bullshit Night in Suck City,Nick Flynn,3.78,eng
164,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,eng
165,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,eng
166,Underworld,Don DeLillo,3.92,eng
167,Libra,Don DeLillo,3.99,eng
168,Americana,Don DeLillo,3.43,eng
169,Running Dog,Don DeLillo,3.43,eng
170,Cosmopolis,Don DeLillo,3.22,eng
171,Great Jones Street,Don DeLillo,3.48,eng
172,The Names,Don DeLillo,3.64,eng
173,Against the Day,Thomas Pynchon,4.13,eng
174,V.,Thomas Pynchon,3.96,eng
175,The Crying of Lot 49,Thomas Pynchon,3.69,eng
176,Gravity's Rainbow,Thomas Pynchon,4.01,eng
177,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,eng
178,Vineland,Thomas Pynchon,3.69,eng
179,Gravity's Rainbow,Thomas Pynchon,4.01,eng
180,Slow Learner: Early Stories,Thomas Pynchon,3.5,eng
181,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,eng
182,The Year of Magical Thinking,Joan Didion,3.89,eng
183,The White Album,Joan Didion,4.17,eng
184,A Book of Common Prayer,Joan Didion,3.8,eng
185,Where I Was From,Joan Didion,3.86,eng
186,Slouching Towards Bethlehem,Joan Didion,4.21,eng
187,Democracy,Joan Didion,3.81,eng
188,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,eng
189,Play It As It Lays,Joan Didion/David Thomson,3.87,eng
190,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,eng
191,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,eng
192,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,eng
193,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,eng
194,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,eng
195,The Brooklyn Follies,Paul Auster,3.84,eng
196,Moon Palace,Paul Auster,3.94,eng
197,The Music of Chance,Paul Auster,3.9,eng
198,Travels in the Scriptorium,Paul Auster,3.23,eng
199,Leviathan,Paul Auster,3.96,eng
200,The Red Notebook: True Stories,Paul Auster,3.77,eng
201,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,fre
202,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,eng
203,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,eng
204,Collapse of Complex Societies,Joseph A. Tainter,4.15,eng
205,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,eng
206,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,eng
207,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,eng
208,My Inventions,Nikola Tesla,4.01,eng
209,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,eng
210,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,eng
211,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,eng
212,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,eng
213,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,eng
214,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,eng
215,Lord of the Flies,William Golding,3.68,eng
216,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,eng
217,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,eng
218,The Lovely Bones,Alice Sebold,3.81,eng
219,The Lovely Bones,Alice Sebold,3.81,eng
220,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,eng
221,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,eng
222,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,eng
223,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,mul
224,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,eng
225,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,eng
226,Vice (V  #8),Jane Feather,3.51,eng
227,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,eng
